Processes: 381 total, 3 running, 378 sleeping, 1640 threads 
2024/10/28 13:36:50
Load Avg: 2.34, 2.42, 2.33 
CPU usage: 11.73% user, 17.33% sys, 70.93% idle 
SharedLibs: 307M resident, 47M data, 18M linkedit.
MemRegions: 252970 total, 1806M resident, 81M private, 524M shared.
PhysMem: 8082M used (2128M wired), 108M unused.
VM: 27T vsize, 3099M framework vsize, 107178992(0) swapins, 109325453(0) swapouts.
Networks: packets: 79133800/100G in, 39644768/12G out.
Disks: 33642606/1167G read, 15164375/944G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
90230  AMPLibraryAgent  0.0  00:02.61 5     1   123    4976K 0B    3844K 90230 1     sleeping *0[48]      0.00000 0.00000    502 59828     376     4213      1066      19645     12969      19748      74      1504     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90214  EscrowSecurityAl 0.0  00:00.13 2     1   50     2012K 0B    1992K 90214 1     sleeping  0[0]       0.00000 0.00000    502 6757      202     313       138       3055      1205       1165       94      2        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90189  homed            0.0  00:02.38 3     1   144    6104K 0B    4420K 90189 1     sleeping *0[665]     0.00000 0.00000    502 32017     370     1674      1949      23957     7589       17767      3782    137      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90184  LinkedNotesUISer 0.0  00:01.32 3     1   202    6616K 0B    4792K 90184 1     sleeping *0[1]       0.00000 0.00000    502 39071     347     16220     6343      15438     30846      20719      273     192      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90171  AppSSOAgent      0.0  00:01.47 3     1   188    7756K 0B    6108K 90171 1     sleeping *0[216]     0.00000 0.00000    502 39346     284     14071     6047      10925     23442      17552      1767    163      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90001  amfid            0.0  00:00.17 2     1   42     1388K 0B    1376K 90001 1     sleeping *0[1]       0.00000 0.00000    0   5694      112     199       115       3426      650        901        5       8        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
89728  keyboardservices 0.0  00:00.46 2     1   53     2048K 0B    1300K 89728 1     sleeping *0[31]      0.00000 0.00000    502 12058     170     718       312       6434      2427       2960       185     29       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89727  AppleSpell       0.0  00:04.69 2     1   111    24M   0B    19M   89727 1     sleeping *0[1]       0.00000 0.00000    502 65539     357     5451      3045      99651     27596      28987      4154    151      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89715  OSDUIHelper      0.0  00:02.65 3     1   161    6000K 0B    3664K 89715 1     sleeping *0[707]     0.00000 0.00000    502 42836     309     35489     7612      33425     70888      38722      116     911      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89638  findmydeviced    0.0  00:01.33 3     1   112    3628K 0B    3324K 89638 1     sleeping *0[22]      0.00000 0.00000    0   34380     317     1496      811       21666     3462       12334      774     2012     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
89637  searchpartyusera 0.0  00:04.69 4     3   124    4260K 0B    2680K 89637 1     sleeping *0[120]     0.00000 0.00000    502 36467     388     1230      796       56167     8041       48677      376     8615     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89634  appleaccountd    0.0  00:00.36 2     1   95     2708K 0B    2696K 89634 1     sleeping *0[131]     0.00000 0.00000    502 11478     262     1192      793       6874      4597       3732       35      26       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89614  VTDecoderXPCServ 0.0  00:04.21 2     1   69     40M   0B    39M   89614 1     sleeping *0[2166]    0.00000 0.00000    502 44291     183     100148    45088     96633     138794     62364      192     13       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89607  Telegram         0.0  14:40.84 32    13  2043   709M  364K  351M  89607 1     sleeping  0[2767]    0.00000 0.00000    502 6351887   416490  3174116   515461    7504357   6541973    4857899    66191   174493   0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89335  parsecd          0.0  00:02.02 2     1   79     4156K 0B    1460K 89335 1     sleeping *0[135]     0.00000 0.00000    502 44351     394     1112      1109      27010     4795       14831      853     1756     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89332  com.apple.Accoun 0.0  00:00.07 2     1   19     776K  0B    428K  89332 1     sleeping *0[85]      0.00000 0.00000    0   4222      101     343       387       2508      1466       802        0       6        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
89330  StatusKitAgent   0.0  00:00.53 2     1   83     3308K 0B    3268K 89330 1     sleeping *0[52]      0.00000 0.00000    502 15737     191     713       414       8139      3566       5564       347     25       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89329  coreautha        0.0  00:01.53 3     1   181    10M   0B    6712K 89329 1     sleeping *0[252]     0.00000 0.00000    502 50389     323     18132     7484      21232     30269      18190      309     189      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89321  AppleCredentialM 0.0  00:00.09 2     1   34     752K  0B    748K  89321 1     sleeping *0[1]       0.00000 0.00000    0   2508      116     1652      886       1156      2075       481        0       1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
89316  WorldClockWidget 0.0  01:41.92 5     4   77     6780K 0B    1740K 89316 1     sleeping *1[73]      0.00000 0.00000    502 378973    648     5729      4260      1271549   38627      60684      5949    34       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89315  TextInputSwitche 0.0  00:01.55 3     1   178    6936K 0B    4920K 89315 1     sleeping *0[1]       0.00000 0.00000    502 44842     273     16442     7219      15813     38322      24193      51      240      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89314  biometrickitd    0.0  00:02.08 2     1   86     2280K 0B    1420K 89314 1     sleeping *0[1]       0.00000 0.00000    0   33192     201     3909      2774      58360     15737      38333      894     604      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
89302  contentlinkingd  0.0  00:00.44 2     1   54     1364K 0B    484K  89302 1     sleeping *0[520]     0.00000 0.00000    502 8487      161     1893      896       7843      5183       4865       31      92       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
89299  systemsoundserve 0.0  00:00.78 3     1   126    2788K 200K  1776K 89299 1     sleeping *0[1]       0.00000 0.00000    0   16890     440     8677      4765      16321     19272      18138      413     95       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
